Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [32m🚀 Database connected successfully[39m
Sat Jul 19 2025 9:17:56 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7000[39m
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - OPTIONS /api/v1/admin/dailyInspiration/scheduled 204 - 0.031 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - GET /api/v1/users/profile 200 - 8.814 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - GET /api/v1/admin/dailyInspiration 200 - 17.449 ms
Sat Jul 19 2025 9:49:50 [SERVER-NAME] info: 10.10.7.37 - GET /api/v1/admin/videos/managment/videos? 200 - 20.673 ms
Sat Jul 19 2025 9:50:47 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge-category/get-all-challenge-category 200 - 11.340 ms
Sat Jul 19 2025 9:51:6 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge/get-challenges-videos/6871e72a3e210a79fe1e17f9 200 - 5.309 ms
Sat Jul 19 2025 9:51:42 [SERVER-NAME] info: 10.10.7.104 - OPTIONS /api/v1/admin/challenge-category/get-all-challenge-category 204 - 0.074 ms
Sat Jul 19 2025 9:51:42 [SERVER-NAME] info: 10.10.7.104 - GET /api/v1/admin/challenge-category/get-all-challenge-category 304 - 14.355 ms
Sat Jul 19 2025 9:51:42 [SERVER-NAME] info: 10.10.7.104 - GET //image/image-3-1752496563677.png 304 - 1.162 ms
Sat Jul 19 2025 9:51:42 [SERVER-NAME] info: 10.10.7.104 - GET //image/class-meditation-hands-woman-nature-260nw-2603763821-1752299564654.jpg 304 - 2.372 ms
